"Get Directions","Wegbeschreibung anzeigen"
"Show on Google Map","Auf Google Maps anzeigen"
"From","Von"
"No store located","Kein Lager in der Nähe"
"You are here","Sie befinden sich hier"
"The closest store is","Das nächste Lager ist"
"No result found.","Keine Ergebnisse gefunden."
"Unable to find your location","Kann Ihren Standort nicht finden"
"Distance calculation failed","Wegberechnung fehlgeschlagen"
"show my location","zeige meinen Standort"
"change my location","ändere meinen Standort"
"Your location","Ihr Standort"
"Find me","Finde mich"
"Enter your location (city, address, zipcode...)","Geben sie Ihren Standort ein (Stadt, Adresse, Postleitzahl...)"
"Set a new location","Setze neuen Standort"
"Your directions","Ihre Wegbeschreibung"
"Close","Schliessen"
"Print","Drucken"
"Searching your location","Suche Ihren Standort"
"All our store locations","All unsere Lagerstandorte"
"Select a country :","Wählen Sie ein Land aus"
"All countries","Alle Länder"
"The nearest store is","Das nächstgelegene Abholdepot ist"