"Manage Single Step Checkout","Manage Single Step Checkout"
"Areas Configuration", "Areas Configuration"
"Fields Configuration", "Fields Configuration"
"Geo IP Settings", "Geo IP Settings"
"Single Step Checkout Configuration","Single Step Checkout Configuration"
"Labels and Layout","Labels and Layout"
"Fields","Fields"
"Geo IP","Geo IP"
"The fields has been saved.","The fields has been saved."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Checkout","Checkout"
"Unable to set Payment Method.","Unable to set Payment Method."
"Use Default Value","Use Default Value"
"Layout","Layout"
"Field","Field"
"Label","Label"
"Placement","Placement"
"Required","Required"
"Use Default Value","Use Default Value"
"Already registered? Click here to login.","Already registered? Click here to login."
"Login","Login"
"Already registered?","Already registered?"
"Please log in below:","Please log in below:"
"Email Address","Email Address"
"Password","Password"
"Forgot your password?","Forgot your password?"